zip,"Estimated percent of all people age 25-34, between 2014-2018.","Estimated percent of all people age 35-44, between 2014-2018.","Estimated percent of all people age 45-54, between 2014-2018.","Estimated percent of all people age 55-64, between 2014-2018.","Estimated percent of all people 65 or older, between 2014-2018.",Estimated typical (median) age of all people between 2013-2017.
00962,12.64285714285714,11.79428571428571,13.973428571428572,13.314285714285715,18.405428571428576,39.51428571428571
00963,12.74,10.07,9.81,16.27,21.61,40.0
00965,11.038333333333332,9.955,15.321666666666667,14.25,24.153333333333336,45.666666666666664
00966,12.665454545454544,11.704545454545455,13.165454545454548,14.364545454545457,23.280000000000005,45.27272727272727
00968,11.589999999999998,11.2225,12.578750000000001,14.608749999999999,27.910000000000004,47.5
00969,12.446666666666665,12.194999999999999,13.412916666666662,13.642083333333337,21.991249999999997,43.5
00970,16.67,11.98,9.79,11.27,10.61,29.0
00971,11.803333333333335,13.523333333333332,13.216666666666669,12.338333333333333,22.05,41.666666666666664
00975,8.9,17.81,11.36,17.81,21.86,43.0
00976,12.646382978723407,12.03042553191489,13.67787234042553,13.54808510638298,21.161489361702124,43.255319148936174
00977,12.74,10.07,9.81,16.27,21.61,40.0
00979,11.268888888888888,13.091111111111111,15.004444444444447,15.517777777777777,23.296666666666667,47.22222222222222
00982,12.644444444444446,11.105555555555556,12.08222222222222,12.398888888888887,22.169999999999998,41.111111111111114
00983,13.61461538461538,11.605384615384615,12.775384615384617,12.031538461538462,22.073076923076922,42.23076923076923
00984,13.36,9.0,9.1,9.5,15.44,28.0
00985,11.106666666666666,13.109999999999998,13.391666666666667,11.472222222222221,22.387222222222217,41.833333333333336
00986,10.8,16.41,8.12,10.64,19.42,37.0
00987,12.208823529411765,13.531764705882352,14.132352941176473,11.813529411764708,18.982941176470586,40.94117647058823
00988,14.23,10.35,12.59,10.37,25.23,44.0
01001,12.957999999999998,11.848,14.524000000000001,15.322,20.282000000000004,45.0
01002,7.978888888888889,6.041111111111111,6.771111111111111,8.913333333333334,11.183333333333334,30.11111111111111
01003,10.512500000000001,5.525,6.9825,8.215,13.825,28.75
01004,11.28,4.59,9.4,7.92,17.95,24.0
01005,9.913333333333332,8.783333333333333,17.896666666666665,20.416666666666668,15.62,47.0
01007,9.016666666666666,11.309999999999997,15.623333333333335,16.28,17.77,46.333333333333336
01008,9.719999999999999,11.835,15.545,18.375,21.7,48.5
01009,20.71,8.5,8.8,22.47,21.3,47.0
01010,11.14,10.9925,18.427500000000002,15.765,16.33,45.25
01011,9.606666666666667,10.406666666666666,15.11,20.75,21.44333333333333,50.0
01012,11.29,13.21,11.37,18.08,18.01,44.0
01013,14.344,12.811000000000002,13.691999999999998,11.625,15.358,37.6
01014,16.6,14.51,11.98,15.81,12.52,38.0
01020,13.521818181818183,11.605454545454545,14.587272727272728,13.11909090909091,18.00090909090909,41.36363636363637
01021,12.36,14.53,13.18,12.67,14.11,36.0
01022,11.583333333333334,11.479999999999999,13.406666666666666,15.613333333333332,22.99666666666667,48.0
01026,9.276666666666666,10.57,15.49,20.279999999999998,19.513333333333335,49.0
01027,11.731428571428571,12.747142857142858,14.612857142857143,17.301428571428573,19.11285714285714,46.0
